"","Ano","UF","classe","Sexo","Valor_Proj","Valor_Aferido","Comparativo"
"297",2011,"ES","[55,60)","M",82101,80715,0.0168816457777612
"298",2011,"ES","[60,65)","M",58763,57976,0.0133927811718252
"299",2011,"ES","[65,70)","M",41189,40828,0.00876447595231772
"300",2011,"ES","[70,75)","M",30683.9999999999,29705,0.0319058792856196
"301",2011,"ES","[75,80)","M",21537,21240,0.013790221479314
"302",2011,"ES","[80,85)","M",13321,13124,0.0147886795285634
"303",2011,"ES","[85,90)","M",6259,5893,0.0584757948554083
"304",2011,"ES","90+","M",2831,2696,0.0476863299187572
"305",2011,"GO","[0,5)","F",226288,212894,0.059190058686276
"306",2011,"GO","[05.10)","F",240750,228748,0.049852544132918
"307",2011,"GO","[10,15)","F",261037,254989,0.0231691292805229
"308",2011,"GO","[15,20)","F",269701,266647,0.0113236510061146
"309",2011,"GO","[20,25)","F",279723,270245,0.0338835204827633
"310",2011,"GO","[25,30)","F",285655,280207,0.019071957431166
"311",2011,"GO","[30,35)","F",278364,273041,0.0191224439941955
"312",2011,"GO","[35,40)","F",250441,246672,0.0150494527653219
"313",2011,"GO","[40,45)","F",227340,224004,0.0146740564792826
"314",2011,"GO","[45,50)","F",199250,196456,0.0140225846925977
"315",2011,"GO","[50,55)","F",165617,161398,0.025474438010591
"316",2011,"GO","[55,60)","F",132545,131089,0.0109849485080541
"317",2011,"GO","[60,65)","F",101799,100354,0.0141946384542089
"318",2011,"GO","[65,70)","F",75203,75234,-0.0004122175977028
"319",2011,"GO","[70,75)","F",56648,53955,0.0475391893800308
"320",2011,"GO","[75,80)","F",37679,38028,-0.00926245388677946
"321",2011,"GO","[80,85)","F",22065,21890,0.00793111262179923
"322",2011,"GO","[85,90)","F",10927,10686,0.0220554589548824
"323",2011,"GO","90+","F",5970,5948,0.00368509212730242
"324",2011,"GO","[0,5)","M",236648,221225,0.0651727460194042
"325",2011,"GO","[05.10)","M",251713,238078,0.05416883514161
"326",2011,"GO","[10,15)","M",270822,264652,0.0227824918211966
"327",2011,"GO","[15,20)","M",273118,270693,0.00887894609655879
"328",2011,"GO","[20,25)","M",284353,274136,0.0359306917809905
"329",2011,"GO","[25,30)","M",285033,278816,0.0218115095445077
"330",2011,"GO","[30,35)","M",272037,266709,0.0195855710804045
"331",2011,"GO","[35,40)","M",241878,237215,0.019278313860707
"332",2011,"GO","[40,45)","M",218919,215915,0.0137219702264303
"333",2011,"GO","[45,50)","M",189897,186673,0.0169776247123442
"334",2011,"GO","[50,55)","M",156148,152418,0.0238875938212458
"335",2011,"GO","[55,60)","M",123426,121793,0.0132305997115685
"336",2011,"GO","[60,65)","M",95107,93503,0.0168652149684037
"337",2011,"GO","[65,70)","M",70658.0000000001,70550,0.00152848934303346
"338",2011,"GO","[70,75)","M",52179,50189,0.0381379482167147
"339",2011,"GO","[75,80)","M",33283,33406,-0.00369558032629314
"340",2011,"GO","[80,85)","M",18837,18554,0.0150236237192757
"341",2011,"GO","[85,90)","M",8864,8511,0.0398240072202166
"342",2011,"GO","90+","M",4319,4255,0.0148182449641119
"343",2011,"MA","[0,5)","F",322048,305259,0.0521319803259136
"344",2011,"MA","[05.10)","F",344667,326891,0.0515744182065586
"345",2011,"MA","[10,15)","F",357032,353689,0.00936330637029783
"346",2011,"MA","[15,20)","F",344696,346541,-0.0053525425302292
"347",2011,"MA","[20,25)","F",332441,329132,0.00995364591010169
"348",2011,"MA","[25,30)","F",309772,310392,-0.00200147205041184
"349",2011,"MA","[30,35)","F",266730,264993,0.00651220335170354
"350",2011,"MA","[35,40)","F",215370,211522,0.0178669266843105
"351",2011,"MA","[40,45)","F",187817,187078,0.00393468109915518
"352",2011,"MA","[45,50)","F",163766,163023,0.00453696127401381
"353",2011,"MA","[50,55)","F",138677,135631,0.0219647093606005
"354",2011,"MA","[55,60)","F",117229,117731,-0.00428221685760362
"355",2011,"MA","[60,65)","F",92580,92205,0.00405055087491852
"356",2011,"MA","[65,70)","F",72470.9999999999,72648,-0.00244235625284697
"357",2011,"MA","[70,75)","F",57207,56345,0.015068086073382
"358",2011,"MA","[75,80)","F",38941,39409,-0.012018181351275
"359",2011,"MA","[80,85)","F",23361,23635,-0.0117289499593338
"360",2011,"MA","[85,90)","F",13163,13593,-0.0326673250778692
"361",2011,"MA","90+","F",10539,10593,-0.0051238257899228
"362",2011,"MA","[0,5)","M",335257,315925,0.0576632255254927
"363",2011,"MA","[05.10)","M",356299,340516,0.0442970651054313
"364",2011,"MA","[10,15)","M",367403,365236,0.00589815543150196
"365",2011,"MA","[15,20)","M",350004,351136,-0.00323424875144234
"366",2011,"MA","[20,25)","M",328781,326469,0.00703203652279089
"367",2011,"MA","[25,30)","M",300458,302658,-0.00732215484360543
"368",2011,"MA","[30,35)","M",256280,255341,0.00366396129233617
"369",2011,"MA","[35,40)","M",206370,203079,0.0159470853321708
"370",2011,"MA","[40,45)","M",178539,178572,-0.000184833565776034
"371",2011,"MA","[45,50)","M",153095,151923,0.00765537738005776
"372",2011,"MA","[50,55)","M",127848,125605,0.0175442713221952
"373",2011,"MA","[55,60)","M",106565,106005,0.00525500868014854
"374",2011,"MA","[60,65)","M",86906,88123,-0.0140036361125816
"375",2011,"MA","[65,70)","M",68922,68866,0.000812512695511078
"376",2011,"MA","[70,75)","M",52531,51844,0.0130779920427939
"377",2011,"MA","[75,80)","M",35757,36456,-0.0195486198506586
"378",2011,"MA","[80,85)","M",20269,20610,-0.0168237209531794
"379",2011,"MA","[85,90)","M",10340,10938,-0.0578336557059963
"380",2011,"MA","90+","M",7082,7025,0.00804857384919514
"381",2011,"MG","[0,5)","F",644334,621789,0.0349896171861174
"382",2011,"MG","[05.10)","F",713712,680755,0.046176889277467
